Parameter,Value,Run,Succesful Requests,Time Spent,Succesful Requests per Second
maxdelay,10,1,606,905.9471050649881,0.668913225299758
maxdelay,10,1,621,841.1184590309858,0.7383026651387793
maxdelay,10,2,678,1041.5272950287908,0.6509670972965313
maxdelay,10,3,917,1055.3915854543447,0.8688718127359644
maxdelay,10,4,997,1127.7070309128612,0.8840948692081347
maxdelay,10,5,1000,1083.455572994426,0.9229727779573152
maxdelay,10,6,614,843.5650452971458,0.7278632553862144
maxdelay,10,7,920,1263.216017736122,0.7282998213154247
maxdelay,10,8,628,799.4294734403957,0.7855602287183158
maxdelay,10,9,633,801.8503324966878,0.789424128601474
