Parameter,Value,Run,Succesful Requests,Time Spent,Succesful Requests per Second
simulation,paper,1,448,396.7082919077948,1.1292932594011087
simulation,paper,1,809,499.230069990037,1.6204953359803527
simulation,paper,2,439,383.366817929782,1.145117364018729
simulation,paper,3,844,707.5472019461449,1.1928532791572557
simulation,paper,4,669,590.3006316479295,1.1333208269358734
simulation,paper,5,796,557.9889790354646,1.4265514730702378
simulation,paper,6,822,519.8586934341583,1.5811989111308546
simulation,paper,7,472,437.5868976772763,1.0786428992855805
simulation,paper,8,846,594.9262016199064,1.4220251145376561
simulation,paper,9,833,460.0270991147263,1.810762891149284
