Parameter,Value,Run,Succesful Requests,Time Spent,Succesful Requests per Second
simulation,tuned,1,926,387.2804487263784,2.3910321397459393
simulation,tuned,1,1000,608.0412371771527,1.6446252965383172
simulation,tuned,2,1000,513.2670929257292,1.9483033566398966
simulation,tuned,3,882,304.87710932304617,2.8929689144534545
simulation,tuned,4,845,305.1371250676457,2.769246776552255
simulation,tuned,5,796,397.2889095650171,2.0035797144992618
simulation,tuned,6,995,307.73870473902207,3.233262455055207
simulation,tuned,7,1000,327.26454402692616,3.055631959683734
simulation,tuned,8,978,332.93898355262354,2.9374751780769452
simulation,tuned,9,1000,344.18814234039746,2.9053877138248807
