Parameter,Value,Run,Succesful Requests,Time Spent,Succesful Requests per Second
statescope,1000,1,560,503.77129455877,1.1116155407196793
statescope,1000,1,1000,924.6214436751325,1.0815236947406899
statescope,1000,2,685,612.3992158025503,1.1185513996818337
statescope,1000,3,95,65.4326504364144,1.4518745514109703
statescope,1000,4,955,843.9182891212404,1.1316261447472922
statescope,1000,5,996,877.5965555628645,1.1349178545501413
statescope,1000,6,1000,919.7319661783986,1.0872732891465382
statescope,1000,7,721,638.0805243549985,1.1299514285110337
statescope,1000,8,968,644.4299375182018,1.502102778973795
statescope,1000,9,406,321.93939213542035,1.261106934777402
