Parameter,Value,Run,Succesful Requests,Time Spent,Succesful Requests per Second
testserver,paper,1,115,86.0241783412639,1.3368334602835379
testserver,paper,1,460,491.989478017902,0.934979345194984
testserver,paper,2,163,122.69133248762228,1.3285372054822557
testserver,paper,3,93,73.80041673826054,1.2601554857045376
testserver,paper,4,123,93.06914402754046,1.3215980579299471
testserver,paper,5,121,88.26610461133532,1.370854650636309
testserver,paper,6,121,91.34516064077616,1.324645981803507
testserver,paper,7,129,92.02681659231894,1.4017653199009716
testserver,paper,8,125,94.15117129986174,1.3276520968803238
testserver,paper,9,125,88.54715889296494,1.4116771397611858
