Parameter,Value,Run,Succesful Requests,Time Spent,Succesful Requests per Second
testserver,tuned,1,114,83.24350027553737,1.369476290913502
testserver,tuned,1,989,496.6095051059965,1.9915043708011742
testserver,tuned,2,880,404.06316949400934,2.17787728859818
testserver,tuned,3,946,708.1239487382118,1.3359243133714847
testserver,tuned,4,1000,605.6663742882665,1.6510739946148152
testserver,tuned,5,943,705.6717782618944,1.3363153084039399
testserver,tuned,6,242,188.45225959643722,1.2841448572611072
testserver,tuned,7,200,120.97093751397915,1.653289658740459
testserver,tuned,8,786,731.5357826815452,1.0744518841153725
testserver,tuned,9,974,446.2265857998282,2.182747579358538
