Parameter;Value;Run;Succesful Requests;Time Spent;Succesful Requests per Second
alpha_a;0.0001;1;522;475,2604189;1,0983452
alpha_a;0.001;1;632;585,5883009;1,079256534
alpha_a;0.01;1;1000;945,9975547;1,057085185
alpha_a;0.1;1;1000;947,1617423;1,055785887
alpha_a;0.2;1;71;50,95605203;1,393357554
alpha_a;1,00E-05;1;696;377,6244383;1,843101053
alpha_a;1,00E-06;1;1000;474,1915698;2,108852337
alpha_a;1,00E-07;1;1000;511,3438687;1,955631154
alpha_c;0.0001;1;1000;933,0082755;1,071801855
alpha_c;0.001;1;811;493,5373367;1,643239406
alpha_c;0.01;1;785;323,9258528;2,423394098
alpha_c;0.1;1;835;527,0674072;1,584237592
alpha_c;0.2;1;942;386,890506;2,434797405
alpha_c;1,00E-05;1;1000;908,7076807;1,100463902
alpha_c;1,00E-06;1;1000;933,154826;1,07163353
alpha_c;1,00E-07;1;137;96,23672507;1,423572964
batch_size;128;1;354;272,75761;1,297855631
batch_size;16;1;1000;959,9863324;1,041681497
batch_size;32;1;1000;953,6722528;1,048578269
batch_size;64;1;697;434,5268117;1,604043712
batch_size;8;1;1000;964,6457078;1,036650028
fc1;100;1;989;896,3256205;1,103393652
fc1;200;1;508;462,0937159;1,099344099
fc1;300;1;746;617,3097403;1,208469511
fc1;400;1;664;395,577746;1,678557519
fc1;500;1;865;735,5993159;1,175911915
fc2;100;1;603;515,8855882;1,168863821
fc2;200;1;783;717,6526207;1,091057118
fc2;300;1;459;415,642992;1,104313098
fc2;400;1;778;465,3544516;1,671843897
fc2;500;1;672;518,7086914;1,295524851
gamma;0.8;1;721;461,243765;1,563164762
gamma;0.9;1;833;525,0769916;1,586434015
gamma;0.99;1;805;422,8459169;1,903766757
gamma;0.999;1;685;632,7259956;1,082617128
gamma;0.9999;1;671;457,7708469;1,465798892
noise;0.001;1;1000;953,1424544;1,049161115
noise;0.01;1;903;785,213097;1,150006289
noise;0.1;1;710;400,6943623;1,771924107
noise;0.2;1;453;306,2097049;1,479378324
noise;0.3;1;248;196,7387192;1,260555121
tau;0.0001;1;514;458,1318079;1,121947857
tau;0.001;1;624;519,2061526;1,201834757
tau;0.01;1;701;635,6126412;1,102872968
tau;0.1;1;806;744,9907735;1,081892593
tau;0.2;1;1000;938,7068343;1,065295323
tau;1,00E-05;1;403;336,6937755;1,196933325
tau;1,00E-06;1;834;609,3826187;1,368598274
alpha_a;0.0001;2;750;686,6790291;1,092213346
alpha_a;0.001;2;777;722,029082;1,076133939
alpha_a;0.01;2;70;51,18038414;1,367711501
alpha_a;0.1;2;70;49,94686942;1,401489239
alpha_a;0.2;2;70;51,11391175;1,369490176
alpha_a;1,00E-05;2;687;361,5815517;1,899986315
alpha_a;1,00E-06;2;1000;477,0064872;2,096407548
alpha_a;1,00E-07;2;1000;501,6046771;1,993601826
alpha_c;0.0001;2;1000;938,22054;1,065847482
